ligand	cluster	run	mode	affinity	rmsd_lb	rmsd_ub	model
Glu	cl1	2	3	-5.1053	1.5742	3.132	CsqR-s-AF
Glu	cl1	3	1	-5.4217	0.0	0.0	CsqR-s-AF
Glu	cl1	3	2	-5.2039	1.3615	2.9929	CsqR-s-AF
Glu	cl1	3	3	-5.1208	1.1047	3.9828	CsqR-s-AF
Glu	cl1	4	1	-5.2213	0.0	0.0	CsqR-s-AF
Glu	cl1	4	2	-5.1384	1.3243	3.7447	CsqR-s-AF
Glu	cl1	4	3	-5.1329	1.5597	4.0012	CsqR-s-AF
Glu	cl1	5	1	-5.5276	0.0	0.0	CsqR-s-AF
Glu	cl1	5	2	-5.2526	8.4708	10.0785	CsqR-s-AF
Glu	cl1	5	3	-5.2017	1.171	4.1146	CsqR-s-AF
Lac	cl1	1	1	-6.328	0.0	0.0	CsqR-s-AF
Lac	cl1	1	2	-6.0703	1.8283	6.1286	CsqR-s-AF
Lac	cl1	1	3	-5.9766	2.2232	3.6323	CsqR-s-AF
Lac	cl1	2	1	-6.3931	0.0	0.0	CsqR-s-AF
Lac	cl1	2	2	-6.1922	1.8624	6.3167	CsqR-s-AF
Lac	cl1	2	3	-6.0632	1.8626	6.1264	CsqR-s-AF
Lac	cl1	3	1	-7.0702	0.0	0.0	CsqR-s-AF
Lac	cl1	3	2	-6.288	3.5272	6.2785	CsqR-s-AF
Lac	cl1	3	3	-6.081	2.6413	7.7028	CsqR-s-AF
Lac	cl1	4	1	-6.412	0.0	0.0	CsqR-s-AF
Lac	cl1	4	2	-6.3886	2.4992	3.3534	CsqR-s-AF
Lac	cl1	4	3	-6.1778	1.606	5.735	CsqR-s-AF
Lac	cl1	5	1	-6.3337	0.0	0.0	CsqR-s-AF
Lac	cl1	5	2	-6.1915	1.7885	6.0581	CsqR-s-AF
Lac	cl1	5	3	-6.0266	1.7269	2.5203	CsqR-s-AF
SQ	cl1	1	1	-6.0894	0.0	0.0	CsqR-s-AF
SQ	cl1	1	2	-5.9659	1.2972	2.8549	CsqR-s-AF
SQ	cl1	1	3	-5.8021	2.3206	2.925	CsqR-s-AF
SQ	cl1	2	1	-5.9679	0.0	0.0	CsqR-s-AF
SQ	cl1	2	2	-5.7639	1.9813	3.3889	CsqR-s-AF
SQ	cl1	2	3	-5.3983	1.4501	1.9585	CsqR-s-AF
SQ	cl1	3	1	-6.0776	0.0	0.0	CsqR-s-AF
SQ	cl1	3	2	-6.0051	1.294	2.8876	CsqR-s-AF
SQ	cl1	3	3	-5.8612	2.2637	2.782	CsqR-s-AF
SQ	cl1	4	1	-6.032	0.0	0.0	CsqR-s-AF
SQ	cl1	4	2	-5.9759	1.3165	2.7133	CsqR-s-AF
SQ	cl1	4	3	-5.8084	2.2495	2.8305	CsqR-s-AF
SQ	cl1	5	1	-5.9419	0.0	0.0	CsqR-s-AF
SQ	cl1	5	2	-5.8764	1.2081	2.6727	CsqR-s-AF
SQ	cl1	5	3	-5.811	1.9884	3.3255	CsqR-s-AF
SQGro	cl1	1	1	-5.897	0.0	0.0	CsqR-s-AF
SQGro	cl1	1	2	-5.8759	1.6204	2.4659	CsqR-s-AF
SQGro	cl1	1	3	-5.7264	2.2938	4.8785	CsqR-s-AF
SQGro	cl1	2	1	-5.912	0.0	0.0	CsqR-s-AF
SQGro	cl1	2	2	-5.5344	2.558	5.2006	CsqR-s-AF
SQGro	cl1	2	3	-5.5196	2.3369	5.9806	CsqR-s-AF
SQGro	cl1	3	1	-5.7108	0.0	0.0	CsqR-s-AF
SQGro	cl1	3	2	-5.6849	2.2612	4.5741	CsqR-s-AF
SQGro	cl1	3	3	-5.5788	2.533	5.5659	CsqR-s-AF
SQGro	cl1	4	1	-5.9299	0.0	0.0	CsqR-s-AF
SQGro	cl1	4	2	-5.5266	1.9756	4.3844	CsqR-s-AF
SQGro	cl1	4	3	-5.4582	2.3517	6.0461	CsqR-s-AF
SQGro	cl1	5	1	-6.9249	0.0	0.0	CsqR-s-AF
SQGro	cl1	5	2	-6.463	1.475	2.3511	CsqR-s-AF
SQGro	cl1	5	3	-5.7351	2.7016	6.2982	CsqR-s-AF
SR	cl1	1	1	-6.0495	0.0	0.0	CsqR-s-AF
SR	cl1	1	2	-6.01	0.1526	1.1141	CsqR-s-AF
SR	cl1	1	3	-5.121	1.443	2.1349	CsqR-s-AF
SR	cl1	2	1	-6.0706	0.0	0.0	CsqR-s-AF
SR	cl1	2	2	-6.0519	0.1631	1.1332	CsqR-s-AF
SR	cl1	2	3	-6.0358	0.0838	1.1148	CsqR-s-AF
SR	cl1	3	1	-6.1119	0.0	0.0	CsqR-s-AF
SR	cl1	3	2	-6.0624	0.1067	1.0894	CsqR-s-AF
SR	cl1	3	3	-5.2222	2.1115	4.8988	CsqR-s-AF
SR	cl1	4	1	-5.9617	0.0	0.0	CsqR-s-AF
SR	cl1	4	2	-5.5146	0.9555	1.0833	CsqR-s-AF
SR	cl1	4	3	-5.3752	0.4503	1.169	CsqR-s-AF
SR	cl1	5	1	-6.073	0.0	0.0	CsqR-s-AF
SR	cl1	5	2	-6.0543	0.1166	1.1186	CsqR-s-AF
SR	cl1	5	3	-5.2322	2.1248	4.8907	CsqR-s-AF
Glu	cl2	1	1	-4.5869	0.0	0.0	CsqR-s-IT, compact
Glu	cl2	1	2	-4.4766	6.9675	8.0694	CsqR-s-IT, compact
Glu	cl2	1	3	-4.3196	12.9755	14.911	CsqR-s-IT, compact
Glu	cl2	2	1	-4.4183	0.0	0.0	CsqR-s-IT, compact
Glu	cl2	2	2	-4.3955	7.2179	9.6009	CsqR-s-IT, compact
Glu	cl2	2	3	-4.3289	25.4561	27.5164	CsqR-s-IT, compact
Glu	cl2	3	1	-4.392	0.0	0.0	CsqR-s-IT, compact
Glu	cl2	3	2	-4.3677	7.2612	9.5908	CsqR-s-IT, compact
Glu	cl2	3	3	-4.2932	25.3967	27.4669	CsqR-s-IT, compact
Glu	cl2	4	1	-4.6306	0.0	0.0	CsqR-s-IT, compact
Glu	cl2	4	2	-4.5872	27.185	28.7551	CsqR-s-IT, compact
Glu	cl2	4	3	-4.4034	20.6287	22.5273	CsqR-s-IT, compact
Glu	cl2	5	1	-4.4919	0.0	0.0	CsqR-s-IT, compact
Glu	cl2	5	2	-4.4668	7.3615	9.719	CsqR-s-IT, compact
Glu	cl2	5	3	-4.3036	12.3157	14.2324	CsqR-s-IT, compact
Lac	cl2	1	1	-5.5625	0.0	0.0	CsqR-s-IT, compact
Lac	cl2	1	2	-5.4952	19.2785	22.1267	CsqR-s-IT, compact
Lac	cl2	1	3	-5.3517	1.6091	6.2067	CsqR-s-IT, compact
Lac	cl2	2	1	-5.6898	0.0	0.0	CsqR-s-IT, compact
Lac	cl2	2	2	-5.6286	1.9198	3.402	CsqR-s-IT, compact
Lac	cl2	2	3	-5.3351	9.6844	11.2885	CsqR-s-IT, compact
Lac	cl2	3	1	-6.2456	0.0	0.0	CsqR-s-IT, compact
Lac	cl2	3	2	-5.7588	1.7444	3.5548	CsqR-s-IT, compact
Lac	cl2	3	3	-5.4923	2.041	5.9926	CsqR-s-IT, compact
Lac	cl2	4	1	-5.7434	0.0	0.0	CsqR-s-IT, compact
Lac	cl2	4	2	-5.6931	1.9716	3.3689	CsqR-s-IT, compact
Lac	cl2	4	3	-5.6467	1.8754	6.3847	CsqR-s-IT, compact
Lac	cl2	5	1	-5.6144	0.0	0.0	CsqR-s-IT, compact
Lac	cl2	5	2	-5.234	9.5987	11.1972	CsqR-s-IT, compact
Lac	cl2	5	3	-5.1448	1.7102	6.7884	CsqR-s-IT, compact
